cohort,publication,total_LUAD,WGS,WES,RNAseq,SV_calls,fusion_calls,splice,proteomics,phospho,single_cell,clinical_response,smoking,purity,public_access,sample_linkage,est_driver_negative,limitations
TCGA-LUAD,TCGA Nature 2014 / Chen 2021 CellRep,~516,subset~85 (CTRL),yes,yes,fusion-only open; DNA-SV CTRL,yes(open),recount3 only,CPTAC subset,CPTAC subset,no,no,yes,yes(ABSOLUTE),OPEN proc / CTRL raw+WGS,full barcode,~48 DN-Strict / ~57 true pan-neg,WGS/SV/splice/allele-specific CONTROLLED; Chen2021 pre-empts structural
CPTAC-LUAD,Gillette 2020 Cell,110 (+101 NAT),yes(CTRL raw),yes(open MAF),yes,none(SV=0); ALK/RET/ROS1 as clinical,clinical annot,circRNA open,yes(open),"yes(open,40893 sites)",no,no,yes,yes(TSNet/ESTIMATE),OPEN proc / CTRL raw,FULL per-patient (cBioPortal+LinkedOmics),~18 (15-24),raw spectra/seq CTRL; WGD in supp; no scRNA; no therapy resp
PCAWG Lung-AdenoCA,ICGC/TCGA Nature 2020,~38,yes(consensus),no,partial,YES consensus SV open,limited,no,no,no,no,no,donor,yes,PROC->OPEN (SV/CNV/driver),donor IDs,~4-6,too few LUAD; no matched open RNA
OncoSG,Chen 2020 NatGenet,305,NO (WES),yes,yes,RNA-fusion only,yes(RNA),no,no,no,no,partial,yes,yes,OPEN (cBioPortal); raw EGA,cBioPortal IDs,~30-45,WES not WGS; no enhancer/non-coding SV; EGFR-enriched
Sherlock-Lung,Zhang 2021 / Landi 2025,~871 never-smoker,yes 88x,no,yes,yes(internal),yes,limited,no,no,no,some,all never-smk,yes,CTRL (dbGaP phs001697/phs002346),controlled,high (never-smk),raw WGS+RNA controlled; only signature tables open
TRACERx 421,Frankell 2023 Nature,~248,NO (multiregion WES),yes,yes,WES/CN-derived,some(RNA),no,no,no,no,yes(recurrence),yes,yes,PROC (supp open); WES/RNA EGA,rich per-region supp,~25-40,WES not WGS; RNA controlled
Korean EGFR/ALK-WT never-smk,Park 2024 ExpMolMed,99,yes 48x,no,yes,yes(supp),yes,some,yes,yes,no,some,all never-smk,yes,PROC (supp open); raw KoNA CTRL; PXD033360 open,multiomic per-sample,very high (by design),n<100; no breakpoint matrix; raw controlled
LuCA (in hand),Salcher 2022 CancerCell,~298 pts NSCLC,n/a,n/a,scRNA,n/a,n/a,n/a,no,no,YES (892k cells),no,partial,n/a,OPEN h5ad (CELLxGENE),donor,n/a (43 primary elig w/ malignant+CD8),malignant coarse; lineage states NOT in obs -> re-derive
Kim/Laughney/Bischoff scRNA,2020-2021,44/17/10 LUAD,n/a,n/a,scRNA,n/a,n/a,n/a,no,no,yes,no,partial,n/a,OPEN (GEO/CodeOcean),donor,n/a,validators for lineage reproducibility
HLCA / Travaglini (normal),Sikkema 2023 / Travaglini 2020,normal ref,n/a,n/a,scRNA,n/a,n/a,n/a,no,no,yes(healthy),no,no,n/a,OPEN (CELLxGENE),n/a,n/a,normal epithelial lineage backbone
DepMap 24Q4,DepMap/Broad,~80 LUAD lines,n/a,yes,yes,n/a,yes,n/a,proteomics(sep),no,no,n/a(CRISPR),some,n/a,OPEN (Figshare),ModelID,~8-15 driver-neg w/ full data,thin n; NF1/RIT1/fusion mis-calls risk
GDSC/CTRP/PRISM,various,LUAD lines subset,n/a,n/a,n/a,n/a,n/a,n/a,no,no,no,drug AUC/IC50,n/a,n/a,OPEN,cell-line names,n/a,drug->target maps open
Regulatory (ENCODE/Roadmap/GTEx/etc),various,n/a (A549/IMR90/lung),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,OPEN,n/a,n/a,contextual only (tumor line/fibroblast; hg19 liftover)
