pid,best_class,best_p,dominant_lineage,lineage_entropy,onco_status,erk_pTpY_z,C1_hidden_canonical,C2_suppressor_conv,C3_protein_state,C4_lineage_cond,C5_ligand,C6_microenv,C7_entropy,C8_unknown
C3L-00009,C7_entropy,0.6,EMT_mesenchymal,1.969,neg,0.65,0.0,0.208,0.026,0.0,0.031,0.136,0.599,0.0
C3L-00080,C2_suppressor_conv,0.45,Proliferative,1.987,neg,0.68,0.364,0.45,0.0,0.008,0.0,0.0,0.178,0.0
C3L-00083,C6_microenv,0.37,Ciliated,1.902,neg,1.38,0.219,0.0,0.0,0.111,0.209,0.37,0.09,0.0
C3L-00095,C7_entropy,0.4,EMT_mesenchymal,1.954,neg,0.35,0.0,0.18,0.079,0.02,0.007,0.313,0.401,0.0
C3L-00144,C5_ligand,0.73,Proliferative,1.978,neg,0.08,0.0,0.0,0.0,0.0,0.731,0.269,0.0,0.0
C3L-00422,C1_hidden_canonical,0.37,Mucinous_gastric,1.926,neg,0.53,0.37,0.0,0.0,0.0,0.303,0.0,0.327,0.0
C3L-01682,C6_microenv,0.31,AT1,1.888,neg,1.1,0.0,0.0,0.128,0.124,0.219,0.306,0.223,0.0
C3L-01683,C6_microenv,0.6,EMT_mesenchymal,1.565,neg,0.02,0.075,0.0,0.0,0.0,0.325,0.6,0.0,0.0
C3L-02508,C6_microenv,0.46,AT1,1.682,neg,3.53,0.127,0.0,0.0,0.138,0.277,0.458,0.0,0.0
C3N-00549,C5_ligand,0.35,Proliferative,1.686,neg,0.43,0.237,0.32,0.0,0.091,0.353,0.0,0.0,0.0
C3N-00737,C7_entropy,0.62,Proliferative,1.931,neg,0.48,0.0,0.0,0.0,0.0,0.0,0.379,0.621,0.0
C3N-00738,C5_ligand,0.5,EMT_mesenchymal,1.934,neg,2.21,0.009,0.0,0.0,0.243,0.5,0.155,0.092,0.0
C3N-01071,C7_entropy,0.64,Proliferative,1.959,neg,0.67,0.0,0.275,0.0,0.023,0.0,0.0,0.642,0.06
C3N-01072,C6_microenv,0.55,EMT_mesenchymal,1.884,neg,0.49,0.0,0.0,0.0,0.0,0.0,0.553,0.447,0.0
C3N-01823,C2_suppressor_conv,0.65,AT1,2.01,neg,0.82,0.0,0.654,0.0,0.043,0.0,0.022,0.28,0.0
C3N-02000,C1_hidden_canonical,0.96,Club_secretory,2.008,neg,-0.63,0.962,0.0,0.0,0.01,0.0,0.0,0.028,0.0
C3N-02003,C6_microenv,0.75,Proliferative,1.849,neg,-0.03,0.0,0.0,0.0,0.0,0.0,0.753,0.247,0.0
C3N-02089,C5_ligand,0.4,Proliferative,1.342,neg,0.08,0.368,0.231,0.0,0.0,0.401,0.0,0.0,0.0
C3N-02149,C7_entropy,0.42,Mucinous_gastric,1.995,neg,0.04,0.083,0.327,0.0,0.171,0.0,0.0,0.419,0.0
C3N-02422,C3_protein_state,0.42,Basal,1.954,neg,-0.13,0.012,0.206,0.422,0.0,0.0,0.0,0.36,0.0
C3N-02587,C3_protein_state,0.58,AT2_TRU,1.827,neg,-0.93,0.314,0.0,0.577,0.074,0.0,0.0,0.035,0.0
C3N-02588,C3_protein_state,0.32,Ciliated,1.918,neg,0.89,0.257,0.0,0.319,0.083,0.206,0.0,0.135,0.0
