pid,best_class,best_p,dominant_lineage,lineage_entropy,onco_status,purity,C1_hidden_canonical,C2_suppressor_conv,C4_lineage_cond,C5_ligand,C6_microenv,C7_entropy,C8_unknown
TCGA-05-4382,C6_microenv,0.42,EMT_mesenchymal,1.91,neg,0.21,0.018,0.346,0.0,0.0,0.424,0.212,0.0
TCGA-05-4397,C2_suppressor_conv,0.57,Proliferative,1.442,neg,0.87,0.166,0.568,0.0,0.267,0.0,0.0,0.0
TCGA-05-4398,C1_hidden_canonical,0.54,Proliferative,2.026,neg,0.33,0.537,0.194,0.0,0.0,0.076,0.193,0.0
TCGA-05-4422,C2_suppressor_conv,0.43,Mucinous_gastric,1.968,neg,0.62,0.0,0.428,0.0,0.0,0.18,0.393,0.0
TCGA-05-4432,C7_entropy,0.29,Proliferative,2.042,neg,0.36,0.268,0.281,0.0,0.0,0.158,0.293,0.0
TCGA-05-5429,C8_unknown,0.43,Mucinous_gastric,1.759,neg,0.82,0.056,0.245,0.0,0.269,0.0,0.0,0.43
TCGA-35-4122,C7_entropy,0.44,Proliferative,2.001,neg,0.21,0.202,0.0,0.022,0.0,0.339,0.437,0.0
TCGA-35-5375,C1_hidden_canonical,0.78,Proliferative,1.762,neg,0.58,0.776,0.224,0.0,0.0,0.0,0.0,0.0
TCGA-38-7271,C7_entropy,0.5,AT2_TRU,2.001,neg,0.26,0.0,0.0,0.031,0.0,0.467,0.502,0.0
TCGA-38-A44F,C6_microenv,0.39,Ciliated,1.837,neg,0.26,0.0,0.0,0.27,0.203,0.386,0.141,0.0
TCGA-44-2655,C2_suppressor_conv,0.35,AT2_TRU,1.952,neg,0.33,0.0,0.354,0.052,0.0,0.298,0.295,0.0
TCGA-44-3398,C7_entropy,0.34,EMT_mesenchymal,1.972,neg,0.19,0.0,0.237,0.15,0.104,0.169,0.34,0.0
TCGA-44-4112,C7_entropy,0.86,EMT_mesenchymal,2.019,neg,0.57,0.045,0.0,0.0,0.0,0.095,0.86,0.0
